# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.077901718235223598e+03 4.179458837603606369e+00 0.000000000000000000e+00 4.179458837603606369e+00 0.000000000000000000e+00 6.148610654956651045e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.824641418374470359e-01
3.000000000000000000e+00 1.013303917289164360e+03 4.304893385853162613e+00 0.000000000000000000e+00 4.304893385853162613e+00 0.000000000000000000e+00 5.381012218345819775e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.252057005701574632e-01
4.000000000000000000e+00 9.565976567160749937e+02 4.003164446713176616e+00 0.000000000000000000e+00 4.003164446713176616e+00 0.000000000000000000e+00 4.800991875369255979e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.898598732745748530e-01
5.000000000000000000e+00 9.146277757391014802e+02 3.501570063713276504e+00 0.000000000000000000e+00 3.501570063713276504e+00 0.000000000000000000e+00 4.307572587699555755e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.651131732742466052e-01
6.000000000000000000e+00 8.857193121323384730e+02 2.964095254382919542e+00 0.000000000000000000e+00 2.964095254382919542e+00 0.000000000000000000e+00 3.911040172852482955e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.464721516215228059e-01
7.000000000000000000e+00 8.668749113868462928e+02 2.483404811660526512e+00 0.000000000000000000e+00 2.483404811660526512e+00 0.000000000000000000e+00 3.615333843469156760e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.317394826166440935e-01
8.000000000000000000e+00 8.549373444648953182e+02 2.101541318374251510e+00 0.000000000000000000e+00 2.101541318374251510e+00 0.000000000000000000e+00 3.399638093552066476e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.196931012852405274e-01
9.000000000000000000e+00 8.493325061505300937e+02 1.830023455315992642e+00 0.000000000000000000e+00 1.830023455315992642e+00 0.000000000000000000e+00 3.234305080337168681e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.095901264401501263e-01
1.000000000000000000e+01 8.472428634822914546e+02 1.659015782848756171e+00 0.000000000000000000e+00 1.659015782848756171e+00 0.000000000000000000e+00 3.097067554236318521e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.009488264876064523e-01
1.100000000000000000e+01 8.479414712853179026e+02 1.571380770562924134e+00 0.000000000000000000e+00 1.571380770562924134e+00 0.000000000000000000e+00 2.977460869514005348e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.934410133894590711e-01
