# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.723131872817184785e+03 1.540201291721817256e+01 0.000000000000000000e+00 1.540201291721817256e+01 0.000000000000000000e+00 5.110937936203892029e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.332529565629057444e+00
3.000000000000000000e+00 1.519130749719785399e+03 1.384724169223826173e+01 0.000000000000000000e+00 1.384724169223826173e+01 0.000000000000000000e+00 4.361039472343702705e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.833596524967566754e+00
4.000000000000000000e+00 1.382172435584232971e+03 1.250827191187955023e+01 0.000000000000000000e+00 1.250827191187955023e+01 0.000000000000000000e+00 3.887488995464993380e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.525591865291991311e+00
5.000000000000000000e+00 1.286817139812771075e+03 1.128042852028153042e+01 0.000000000000000000e+00 1.128042852028153042e+01 0.000000000000000000e+00 3.547190861177938359e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.309936548938051448e+00
6.000000000000000000e+00 1.219289210038995407e+03 1.019584506860362438e+01 0.000000000000000000e+00 1.019584506860362438e+01 0.000000000000000000e+00 3.288350173913626939e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.147477418438125341e+00
7.000000000000000000e+00 1.170927460167884874e+03 9.282713836133369867e+00 0.000000000000000000e+00 9.282713836133369867e+00 0.000000000000000000e+00 3.085531317681911467e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.019069300698637548e+00
8.000000000000000000e+00 1.135533551086151874e+03 8.547210596619660095e+00 0.000000000000000000e+00 8.547210596619660095e+00 0.000000000000000000e+00 2.922283469943281364e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.914061846157727675e+00
9.000000000000000000e+00 1.110739829991861370e+03 7.979063806919428181e+00 0.000000000000000000e+00 7.979063806919428181e+00 0.000000000000000000e+00 2.786912058034944017e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.825984191748568852e+00
1.000000000000000000e+01 1.092594936387269399e+03 7.554298048092695339e+00 0.000000000000000000e+00 7.554298048092695339e+00 0.000000000000000000e+00 2.671525475927110982e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.750637638788512973e+00
1.100000000000000000e+01 1.079616490507015897e+03 7.246135746786429799e+00 0.000000000000000000e+00 7.246135746786429799e+00 0.000000000000000000e+00 2.571215181484451939e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.685159927471222785e+00
1.200000000000000000e+01 1.071766050465746957e+03 7.025608834628974897e+00 0.000000000000000000e+00 7.025608834628974897e+00 0.000000000000000000e+00 2.482957510026681636e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.627527359414310260e+00
1.300000000000000000e+01 1.067160965726344330e+03 6.865313032196672438e+00 0.000000000000000000e+00 6.865313032196672438e+00 0.000000000000000000e+00 2.404630296422609614e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.576254951610337240e+00
1.400000000000000000e+01 1.064769743253795696e+03 6.743649226041378952e+00 0.000000000000000000e+00 6.743649226041378952e+00 0.000000000000000000e+00 2.334523691630349340e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.530227310493903259e+00
1.500000000000000000e+01 1.064519271075739653e+03 6.646206303534137660e+00 0.000000000000000000e+00 6.646206303534137660e+00 0.000000000000000000e+00 2.271230858064722469e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.488587341827710242e+00
