# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.196570529480299228e+03 6.243478475406398331e+00 0.000000000000000000e+00 6.243478475406398331e+00 0.000000000000000000e+00 1.441766488110225231e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.250316235518324381e-01
3.000000000000000000e+00 1.106324642880570309e+03 6.059894863743634730e+00 0.000000000000000000e+00 6.059894863743634730e+00 0.000000000000000000e+00 1.241205095504239075e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.865417739290352372e-01
4.000000000000000000e+00 1.034851548773004652e+03 5.567399704940807048e+00 0.000000000000000000e+00 5.567399704940807048e+00 0.000000000000000000e+00 1.106776624479683502e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.010493458633563213e-01
5.000000000000000000e+00 9.830573212287577007e+02 4.932235873685588246e+00 0.000000000000000000e+00 4.932235873685588246e+00 0.000000000000000000e+00 1.003922920247870998e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.411913204739957406e-01
6.000000000000000000e+00 9.470410226010441193e+02 4.294138881329994106e+00 0.000000000000000000e+00 4.294138881329994106e+00 0.000000000000000000e+00 9.239575172055105590e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.960997970229615639e-01
7.000000000000000000e+00 9.227633216453276646e+02 3.733914586085452569e+00 0.000000000000000000e+00 3.733914586085452569e+00 0.000000000000000000e+00 8.625233073954424734e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.604600994138054793e-01
8.000000000000000000e+00 9.065076221178757123e+02 3.287010954164399923e+00 0.000000000000000000e+00 3.287010954164399923e+00 0.000000000000000000e+00 8.148967477486050992e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.313166401260337457e-01
9.000000000000000000e+00 8.973698023885643806e+02 2.960937694037363954e+00 0.000000000000000000e+00 2.960937694037363954e+00 0.000000000000000000e+00 7.765069447481696141e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.068727020467211908e-01
1.000000000000000000e+01 8.923237610165327851e+02 2.743259316075267851e+00 0.000000000000000000e+00 2.743259316075267851e+00 0.000000000000000000e+00 7.440855188707893308e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.859630801453482252e-01
1.100000000000000000e+01 8.905036324248042092e+02 2.615066838266971505e+00 0.000000000000000000e+00 2.615066838266971505e+00 0.000000000000000000e+00 7.158763112479343826e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.677939260627831941e-01
1.200000000000000000e+01 8.922983354143104862e+02 2.552949722468493832e+00 0.000000000000000000e+00 2.552949722468493832e+00 0.000000000000000000e+00 6.910821631307725310e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.518024457439620556e-01
1.300000000000000000e+01 8.961328760492918946e+02 2.533585941263134522e+00 0.000000000000000000e+00 2.533585941263134522e+00 0.000000000000000000e+00 6.692163765713305956e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.375767550901066838e-01
1.400000000000000000e+01 9.012030005097016101e+02 2.538442039248356874e+00 0.000000000000000000e+00 2.538442039248356874e+00 0.000000000000000000e+00 6.497972930264677149e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.248073280563408605e-01
