# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.291930086400805294e+03 7.902080757557815360e+00 0.000000000000000000e+00 7.902080757557815360e+00 0.000000000000000000e+00 2.106250115304768133e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.361027320178583855e+00
3.000000000000000000e+00 1.181041922916529074e+03 7.470178907307358784e+00 0.000000000000000000e+00 7.470178907307358784e+00 0.000000000000000000e+00 1.806205322051465778e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.157262220114579021e+00
4.000000000000000000e+00 1.097678428104870591e+03 6.824390221485606034e+00 0.000000000000000000e+00 6.824390221485606034e+00 0.000000000000000000e+00 1.610363075474562589e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.031473625948631234e+00
5.000000000000000000e+00 1.037969702971459810e+03 6.081894774789718738e+00 0.000000000000000000e+00 6.081894774789718738e+00 0.000000000000000000e+00 1.464509256586157049e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.434014127330666577e-01
6.000000000000000000e+00 9.962244553640380218e+02 5.362940815218752100e+00 0.000000000000000000e+00 5.362940815218752100e+00 0.000000000000000000e+00 1.352150243426605725e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.770550755885723193e-01
7.000000000000000000e+00 9.675653584749074980e+02 4.738807446453057182e+00 0.000000000000000000e+00 4.738807446453057182e+00 0.000000000000000000e+00 1.265112237062354206e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.246156467010338220e-01
8.000000000000000000e+00 9.478256914487071754e+02 4.239640120191850770e+00 0.000000000000000000e+00 4.239640120191850770e+00 0.000000000000000000e+00 1.196547355098879883e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.817336700363159974e-01
9.000000000000000000e+00 9.358359401723482733e+02 3.869729504151789623e+00 0.000000000000000000e+00 3.869729504151789623e+00 0.000000000000000000e+00 1.140595064010464066e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.457662413489768438e-01
1.000000000000000000e+01 9.284021295126309496e+02 3.614549339590393373e+00 0.000000000000000000e+00 3.614549339590393373e+00 0.000000000000000000e+00 1.093149362229184351e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.149985565024216116e-01
1.100000000000000000e+01 9.245464997097901687e+02 3.453764473362777476e+00 0.000000000000000000e+00 3.453764473362777476e+00 0.000000000000000000e+00 1.051882725845048050e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.882618704665806053e-01
1.200000000000000000e+01 9.245805560140682928e+02 3.362960949972763736e+00 0.000000000000000000e+00 3.362960949972763736e+00 0.000000000000000000e+00 1.015595998352092799e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.647296215248502671e-01
