# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.295347269293549971e+03 7.961516133207684476e+00 0.000000000000000000e+00 7.961516133207684476e+00 0.000000000000000000e+00 2.130061630329090683e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.376651058244841686e+00
3.000000000000000000e+00 1.183721223189911598e+03 7.520715970118166283e+00 0.000000000000000000e+00 7.520715970118166283e+00 0.000000000000000000e+00 1.826451917514299028e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.170546864355068273e+00
4.000000000000000000e+00 1.099933016833605279e+03 6.869434185982879804e+00 0.000000000000000000e+00 6.869434185982879804e+00 0.000000000000000000e+00 1.628408977820531733e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.043314302818580286e+00
5.000000000000000000e+00 1.039941801702321300e+03 6.123092410473029545e+00 0.000000000000000000e+00 6.123092410473029545e+00 0.000000000000000000e+00 1.481014208771729512e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.542310073966091544e-01
6.000000000000000000e+00 9.979922418181172361e+02 5.401241056885922376e+00 0.000000000000000000e+00 5.401241056885922376e+00 0.000000000000000000e+00 1.367494415821323583e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.871230338593025788e-01
7.000000000000000000e+00 9.691770181820512562e+02 4.774817658948594890e+00 0.000000000000000000e+00 4.774817658948594890e+00 0.000000000000000000e+00 1.279538957320402570e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.340816261228608530e-01
8.000000000000000000e+00 9.493132931066463698e+02 4.273777332791970807e+00 0.000000000000000000e+00 4.273777332791970807e+00 0.000000000000000000e+00 1.210223696989307207e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.907072947671115459e-01
9.000000000000000000e+00 9.372220797299221431e+02 3.902295840933676097e+00 0.000000000000000000e+00 3.902295840933676097e+00 0.000000000000000000e+00 1.153642066985470338e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.543269304922607388e-01
1.000000000000000000e+01 9.297033958738828687e+02 3.645771936322215634e+00 0.000000000000000000e+00 3.645771936322215634e+00 0.000000000000000000e+00 1.105658023274636692e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.232060170340911531e-01
1.100000000000000000e+01 9.257754636928874561e+02 3.483818948134117743e+00 0.000000000000000000e+00 3.483818948134117743e+00 0.000000000000000000e+00 1.063923402487939596e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.961622669441706046e-01
