# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.201607945347225268e+03 6.331094790107989922e+00 0.000000000000000000e+00 6.331094790107989922e+00 0.000000000000000000e+00 1.476868095294161076e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.480632666333860259e-01
3.000000000000000000e+00 1.110273441445064691e+03 6.134393906830057475e+00 0.000000000000000000e+00 6.134393906830057475e+00 0.000000000000000000e+00 1.271051547382379354e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.061252883001953640e-01
4.000000000000000000e+00 1.038173619754944639e+03 5.633801525911607655e+00 0.000000000000000000e+00 5.633801525911607655e+00 0.000000000000000000e+00 1.133379096710921186e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.185043486045161742e-01
5.000000000000000000e+00 9.859624323489792914e+02 4.992968007973830780e+00 0.000000000000000000e+00 4.992968007973830780e+00 0.000000000000000000e+00 1.028253953034376833e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.571559361926061493e-01
6.000000000000000000e+00 9.496444727059534898e+02 4.350599791071746658e+00 0.000000000000000000e+00 4.350599791071746658e+00 0.000000000000000000e+00 9.465773744853938076e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.109416385035709718e-01
7.000000000000000000e+00 9.251362366524496110e+02 3.787000558034047337e+00 0.000000000000000000e+00 3.787000558034047337e+00 0.000000000000000000e+00 8.837910672521870348e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.744147729273237912e-01
8.000000000000000000e+00 9.086972898096089466e+02 3.337336245885766051e+00 0.000000000000000000e+00 3.337336245885766051e+00 0.000000000000000000e+00 8.350584992881219248e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.445456151158110103e-01
9.000000000000000000e+00 8.994095328071473432e+02 3.008947011595217269e+00 0.000000000000000000e+00 3.008947011595217269e+00 0.000000000000000000e+00 7.957408498838974831e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.194928780638753407e-01
1.000000000000000000e+01 8.942380444457504609e+02 2.789287768123513533e+00 0.000000000000000000e+00 2.789287768123513533e+00 0.000000000000000000e+00 7.625258316518448432e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.980625469417180318e-01
1.100000000000000000e+01 8.923110412374444422e+02 2.659373840014416679e+00 0.000000000000000000e+00 2.659373840014416679e+00 0.000000000000000000e+00 7.336269607593888242e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.794408759039333612e-01
1.200000000000000000e+01 8.940133382957731101e+02 2.595741173544425351e+00 0.000000000000000000e+00 2.595741173544425351e+00 0.000000000000000000e+00 7.082256385823908484e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.630510032901662409e-01
1.300000000000000000e+01 8.977670460703916433e+02 2.575029903430696265e+00 0.000000000000000000e+00 2.575029903430696265e+00 0.000000000000000000e+00 6.858200082388123953e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.484710985864965860e-01
