# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.078861980634434303e+03 4.196160793160068181e+00 0.000000000000000000e+00 4.196160793160068181e+00 0.000000000000000000e+00 6.215523471079219542e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.868545736618381747e-01
3.000000000000000000e+00 1.014056594405425585e+03 4.319094835559765144e+00 0.000000000000000000e+00 4.319094835559765144e+00 0.000000000000000000e+00 5.437907285272238767e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.289388257786137193e-01
4.000000000000000000e+00 9.572308103441851017e+02 4.015822288779676619e+00 0.000000000000000000e+00 4.015822288779676619e+00 0.000000000000000000e+00 4.851702799675784439e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.931872309779426367e-01
5.000000000000000000e+00 9.151814023018961279e+02 3.513147056159424686e+00 0.000000000000000000e+00 3.513147056159424686e+00 0.000000000000000000e+00 4.353953308702238068e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.681564082755998335e-01
6.000000000000000000e+00 8.862153997847929077e+02 2.974858058527704685e+00 0.000000000000000000e+00 2.974858058527704685e+00 0.000000000000000000e+00 3.954159010267296326e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.493013609127626984e-01
7.000000000000000000e+00 8.673270140136820601e+02 2.493524099068716637e+00 0.000000000000000000e+00 2.493524099068716637e+00 0.000000000000000000e+00 3.655874554538532939e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.343995304259138268e-01
8.000000000000000000e+00 8.553544838162440556e+02 2.111134282030266984e+00 0.000000000000000000e+00 2.111134282030266984e+00 0.000000000000000000e+00 3.438070184994888034e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.222147939613509926e-01
9.000000000000000000e+00 8.497210394042432426e+02 1.839174989962706341e+00 0.000000000000000000e+00 1.839174989962706341e+00 0.000000000000000000e+00 3.270968662856827969e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.119957801143009246e-01
1.000000000000000000e+01 8.476074585274687934e+02 1.667789717059700028e+00 0.000000000000000000e+00 1.667789717059700028e+00 0.000000000000000000e+00 3.132218341422805530e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.032552196408829448e-01
1.100000000000000000e+01 8.482856662203171254e+02 1.579826466391855755e+00 0.000000000000000000e+00 1.579826466391855755e+00 0.000000000000000000e+00 3.011296617933029718e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.956611216984338597e-01
1.200000000000000000e+01 8.522402894893656367e+02 1.553120307991098681e+00 0.000000000000000000e+00 1.553120307991098681e+00 0.000000000000000000e+00 2.905222168339847699e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.889781244364142632e-01
1.300000000000000000e+01 8.579650973536151923e+02 1.565260786766934586e+00 0.000000000000000000e+00 1.565260786766934586e+00 0.000000000000000000e+00 2.812780033229784205e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.830339681757727766e-01
1.400000000000000000e+01 8.647066501309703881e+02 1.598399564290065689e+00 0.000000000000000000e+00 1.598399564290065689e+00 0.000000000000000000e+00 2.731898402172956430e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.776992231211490803e-01
1.500000000000000000e+01 8.726021964795064605e+02 1.641007607765227139e+00 0.000000000000000000e+00 1.641007607765227139e+00 0.000000000000000000e+00 2.660055337360119898e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.728744054715552758e-01
1.600000000000000000e+01 8.818653742557288524e+02 1.687171854806879034e+00 0.000000000000000000e+00 1.687171854806879034e+00 0.000000000000000000e+00 2.595450984169346831e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.684816144977435426e-01
1.700000000000000000e+01 8.923667988858338731e+02 1.734459383158593493e+00 0.000000000000000000e+00 1.734459383158593493e+00 0.000000000000000000e+00 2.537334025651623026e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.644588106417992912e-01
1.800000000000000000e+01 9.031249999731121534e+02 1.782346958143777638e+00 0.000000000000000000e+00 1.782346958143777638e+00 0.000000000000000000e+00 2.485471932091071479e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.607558866823305954e-01
1.900000000000000000e+01 9.153994318333623141e+02 1.834472779328484293e+00 0.000000000000000000e+00 1.834472779328484293e+00 0.000000000000000000e+00 2.439564672972307502e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.573318676056691956e-01
2.000000000000000000e+01 9.278072653853818110e+02 1.888931272245536919e+00 0.000000000000000000e+00 1.888931272245536919e+00 0.000000000000000000e+00 2.399028892753769515e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.541528592099594697e-01
2.100000000000000000e+01 9.406648538702561382e+02 1.947626797175046054e+00 0.000000000000000000e+00 1.947626797175046054e+00 0.000000000000000000e+00 2.363287168457445242e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.511905035564507227e-01
2.200000000000000000e+01 9.539549316232856881e+02 2.010222873397385257e+00 0.000000000000000000e+00 2.010222873397385257e+00 0.000000000000000000e+00 2.331913833039920836e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.484208983965642215e-01
2.300000000000000000e+01 9.676074194517982505e+02 2.075831584049400380e+00 0.000000000000000000e+00 2.075831584049400380e+00 0.000000000000000000e+00 2.304610811470154119e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.458237242590437466e-01
2.400000000000000000e+01 9.816393757907936788e+02 2.141421253959281401e+00 0.000000000000000000e+00 2.141421253959281401e+00 0.000000000000000000e+00 2.281100909832935175e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.433816141805509259e-01
2.500000000000000000e+01 9.960295186635404434e+02 2.202843759873043705e+00 0.000000000000000000e+00 2.202843759873043705e+00 0.000000000000000000e+00 2.261141644519270577e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.410795538306819918e-01
2.600000000000000000e+01 1.010698487536654966e+03 2.258906294265458303e+00 0.000000000000000000e+00 2.258906294265458303e+00 0.000000000000000000e+00 2.244522326621591068e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.389045026522008064e-01
2.700000000000000000e+01 1.025712458193958128e+03 2.307028111579795926e+00 0.000000000000000000e+00 2.307028111579795926e+00 0.000000000000000000e+00 2.231129424842364650e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.368451119596871268e-01
2.800000000000000000e+01 1.041011553324030274e+03 2.346689049496195167e+00 0.000000000000000000e+00 2.346689049496195167e+00 0.000000000000000000e+00 2.220973600330236331e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.348914208296805861e-01
2.900000000000000000e+01 1.056612480609331215e+03 2.378934097897052791e+00 0.000000000000000000e+00 2.378934097897052791e+00 0.000000000000000000e+00 2.214104312549275144e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.330346537034572951e-01
3.000000000000000000e+01 1.072510254450911134e+03 2.404089677773254330e+00 0.000000000000000000e+00 2.404089677773254330e+00 0.000000000000000000e+00 2.210532963836741305e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.312670347795508174e-01
3.100000000000000000e+01 1.088516324042464248e+03 2.422816503888989281e+00 0.000000000000000000e+00 2.422816503888989281e+00 0.000000000000000000e+00 2.210254855699917975e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.295816372432164187e-01
3.200000000000000000e+01 1.104791073309394733e+03 2.435543655563203291e+00 0.000000000000000000e+00 2.435543655563203291e+00 0.000000000000000000e+00 2.213261650494309229e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.279722872292582969e-01
3.300000000000000000e+01 1.121319938531948537e+03 2.441901868399423581e+00 0.000000000000000000e+00 2.441901868399423581e+00 0.000000000000000000e+00 2.219500338801692341e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.264334599191311581e-01
3.400000000000000000e+01 1.138058395741561526e+03 2.440854325766862232e+00 0.000000000000000000e+00 2.440854325766862232e+00 0.000000000000000000e+00 2.228973378929716420e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.249601776553891097e-01
3.500000000000000000e+01 1.155021232700239580e+03 2.432473015985940012e+00 0.000000000000000000e+00 2.432473015985940012e+00 0.000000000000000000e+00 2.241682738721127999e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.235479612450951781e-01
3.600000000000000000e+01 1.172143350850604293e+03 2.416273660664919554e+00 0.000000000000000000e+00 2.416273660664919554e+00 0.000000000000000000e+00 2.257553351479829051e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.221927530269267120e-01
3.700000000000000000e+01 1.189391819498637915e+03 2.390839635371166505e+00 0.000000000000000000e+00 2.390839635371166505e+00 0.000000000000000000e+00 2.276541144345151924e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.208908648400754821e-01
3.800000000000000000e+01 1.206880542710542841e+03 2.354572239174226755e+00 0.000000000000000000e+00 2.354572239174226755e+00 0.000000000000000000e+00 2.298654878610348895e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.196389460157905316e-01
3.900000000000000000e+01 1.224609005038966416e+03 2.306957337533774410e+00 0.000000000000000000e+00 2.306957337533774410e+00 0.000000000000000000e+00 2.323939557322320937e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.184339374182683258e-01
4.000000000000000000e+01 1.242543406327355797e+03 2.247775872894067550e+00 0.000000000000000000e+00 2.247775872894067550e+00 0.000000000000000000e+00 2.352451789807300242e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.172730532800519698e-01
