# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.028837122110997825e+03 3.326070509446566792e+00 0.000000000000000000e+00 3.326070509446566792e+00 0.000000000000000000e+00 2.729692740963042263e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.581345294739162355e-01
3.000000000000000000e+00 9.748688688697958469e+02 3.579270695644249045e+00 0.000000000000000000e+00 3.579270695644249045e+00 0.000000000000000000e+00 2.473960453919027136e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.344617756469840830e-01
4.000000000000000000e+00 9.242869889303719901e+02 3.356415111842224075e+00 0.000000000000000000e+00 3.356415111842224075e+00 0.000000000000000000e+00 2.209929885467954991e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.198493595029536535e-01
5.000000000000000000e+00 8.863946551921883383e+02 2.910045612642662594e+00 0.000000000000000000e+00 2.910045612642662594e+00 0.000000000000000000e+00 1.937757941284103946e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.096196184314968403e-01
6.000000000000000000e+00 8.604384853043814019e+02 2.414173433116094447e+00 0.000000000000000000e+00 2.414173433116094447e+00 0.000000000000000000e+00 1.707898340648420499e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.019146887165176818e-01
7.000000000000000000e+00 8.438525707479029734e+02 1.966366384228806607e+00 0.000000000000000000e+00 1.966366384228806607e+00 0.000000000000000000e+00 1.543933192007415356e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.582609779261616612e-02
8.000000000000000000e+00 8.337113406255833752e+02 1.611393767765129326e+00 0.000000000000000000e+00 1.611393767765129326e+00 0.000000000000000000e+00 1.435971007187924753e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.084855150951241798e-02
9.000000000000000000e+00 8.295773806428526314e+02 1.362431840070089217e+00 0.000000000000000000e+00 1.362431840070089217e+00 0.000000000000000000e+00 1.361004666283377462e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.667489447900225685e-02
1.000000000000000000e+01 8.287195538717490990e+02 1.210720104605389036e+00 0.000000000000000000e+00 1.210720104605389036e+00 0.000000000000000000e+00 1.301073449919792069e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.310596469482905979e-02
1.100000000000000000e+01 8.304684694665834286e+02 1.139853376409518670e+00 0.000000000000000000e+00 1.139853376409518670e+00 0.000000000000000000e+00 1.248646698165733343e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.000608528624210403e-02
1.200000000000000000e+01 8.353495128103817251e+02 1.128195995089045223e+00 0.000000000000000000e+00 1.128195995089045223e+00 0.000000000000000000e+00 1.202863492623032771e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.727902314895325475e-02
1.300000000000000000e+01 8.418857410168907336e+02 1.153724850471204100e+00 0.000000000000000000e+00 1.153724850471204100e+00 0.000000000000000000e+00 1.164060688667854088e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.485433970876502474e-02
1.400000000000000000e+01 8.493453652009517327e+02 1.198882801035642043e+00 0.000000000000000000e+00 1.198882801035642043e+00 0.000000000000000000e+00 1.131333094158235714e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.267915191042272072e-02
1.500000000000000000e+01 8.578820184698089406e+02 1.252364658284863097e+00 0.000000000000000000e+00 1.252364658284863097e+00 0.000000000000000000e+00 1.103055555703230106e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.071281775626718502e-02
