# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.029635735641783867e+03 3.339960945883348131e+00 0.000000000000000000e+00 3.339960945883348131e+00 0.000000000000000000e+00 2.785341782450813652e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.617858980111176737e-01
3.000000000000000000e+00 9.754943335424582074e+02 3.591081565735725789e+00 0.000000000000000000e+00 3.591081565735725789e+00 0.000000000000000000e+00 2.521278127499765320e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.375664885603505583e-01
4.000000000000000000e+00 9.248126679974194531e+02 3.366942234075478435e+00 0.000000000000000000e+00 3.366942234075478435e+00 0.000000000000000000e+00 2.252104458490895300e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.226166126157503949e-01
5.000000000000000000e+00 8.868538791273875859e+02 2.919673846333634248e+00 0.000000000000000000e+00 2.919673846333634248e+00 0.000000000000000000e+00 1.976331260846554416e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.121505789991360386e-01
6.000000000000000000e+00 8.608495829325684099e+02 2.423124550915985331e+00 0.000000000000000000e+00 2.423124550915985331e+00 0.000000000000000000e+00 1.743758881914473924e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.042676535097321749e-01
7.000000000000000000e+00 8.442268436258660813e+02 1.974782330072518466e+00 0.000000000000000000e+00 1.974782330072518466e+00 0.000000000000000000e+00 1.577649613418727614e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.803837905983217582e-02
8.000000000000000000e+00 8.340563133847296058e+02 1.619372006955937859e+00 0.000000000000000000e+00 1.619372006955937859e+00 0.000000000000000000e+00 1.467933773039115097e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.294576943053182994e-02
9.000000000000000000e+00 8.298983569959817714e+02 1.370042976812706703e+00 0.000000000000000000e+00 1.370042976812706703e+00 0.000000000000000000e+00 1.391496627604528191e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.867560827410550517e-02
1.000000000000000000e+01 8.290204293330994005e+02 1.218017224141417110e+00 0.000000000000000000e+00 1.218017224141417110e+00 0.000000000000000000e+00 1.330307271753453646e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.502412838599682221e-02
1.100000000000000000e+01 8.307521975893264425e+02 1.146877533308188868e+00 0.000000000000000000e+00 1.146877533308188868e+00 0.000000000000000000e+00 1.276786847237892097e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.185249040077734184e-02
1.200000000000000000e+01 8.356184000894354540e+02 1.134979893212298308e+00 0.000000000000000000e+00 1.134979893212298308e+00 0.000000000000000000e+00 1.230040980326738004e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.906226606894269093e-02
1.300000000000000000e+01 8.421416291755668908e+02 1.160295092324440613e+00 0.000000000000000000e+00 1.160295092324440613e+00 0.000000000000000000e+00 1.190382082605692809e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.658141295636609891e-02
1.400000000000000000e+01 8.495897474986414863e+02 1.205261279511937067e+00 0.000000000000000000e+00 1.205261279511937067e+00 0.000000000000000000e+00 1.156886093879942734e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.435580999529217694e-02
1.500000000000000000e+01 8.581161222674834335e+02 1.258569585639710997e+00 0.000000000000000000e+00 1.258569585639710997e+00 0.000000000000000000e+00 1.127913115080217965e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.234384766179818849e-02
1.600000000000000000e+01 8.679468365621296471e+02 1.314479374655963761e+00 0.000000000000000000e+00 1.314479374655963761e+00 0.000000000000000000e+00 1.102354080905160322e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.051295082378512824e-02
1.700000000000000000e+01 8.789622869396474698e+02 1.370695026621704393e+00 0.000000000000000000e+00 1.370695026621704393e+00 0.000000000000000000e+00 1.080007746850746159e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.883717249349392830e-02
1.800000000000000000e+01 8.901888055978021157e+02 1.426804248942366016e+00 0.000000000000000000e+00 1.426804248942366016e+00 0.000000000000000000e+00 1.061086048980350582e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.729556872161196468e-02
