# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.029234150038836333e+03 3.332976091782152483e+00 0.000000000000000000e+00 3.332976091782152483e+00 0.000000000000000000e+00 2.757358468827754705e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.599497946758817180e-01
3.000000000000000000e+00 9.751798138268135290e+02 3.585142428762388533e+00 0.000000000000000000e+00 3.585142428762388533e+00 0.000000000000000000e+00 2.497484270785997607e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.360052728838382352e-01
4.000000000000000000e+00 9.245483238458741653e+02 3.361648634129704050e+00 0.000000000000000000e+00 3.361648634129704050e+00 0.000000000000000000e+00 2.230896827251999115e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.212250897450000836e-01
5.000000000000000000e+00 8.866229505473819472e+02 2.914832255760933855e+00 0.000000000000000000e+00 2.914832255760933855e+00 0.000000000000000000e+00 1.956934532588416875e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.108778766741140565e-01
6.000000000000000000e+00 8.606428534199962996e+02 2.418623450449553403e+00 0.000000000000000000e+00 2.418623450449553403e+00 0.000000000000000000e+00 1.725726283254490068e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.030844569615296386e-01
7.000000000000000000e+00 8.440386303006176831e+02 1.970550342671381960e+00 0.000000000000000000e+00 1.970550342671381960e+00 0.000000000000000000e+00 1.560695192238773232e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.692592568012187160e-02
8.000000000000000000e+00 8.338828325793192562e+02 1.615360122076355154e+00 0.000000000000000000e+00 1.615360122076355154e+00 0.000000000000000000e+00 1.451861183819830592e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.189117607739592797e-02
9.000000000000000000e+00 8.297369417992828176e+02 1.366215690769801316e+00 0.000000000000000000e+00 1.366215690769801316e+00 0.000000000000000000e+00 1.376163637176853471e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.766954234483533004e-02
1.000000000000000000e+01 8.288691209377010409e+02 1.214347842790303389e+00 0.000000000000000000e+00 1.214347842790303389e+00 0.000000000000000000e+00 1.315606940490549326e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.405957303586224227e-02
1.100000000000000000e+01 8.306095108571538503e+02 1.143345412486934221e+00 0.000000000000000000e+00 1.143345412486934221e+00 0.000000000000000000e+00 1.262636473476152765e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.092401913996348506e-02
1.200000000000000000e+01 8.354831752364591466e+02 1.131568587651615498e+00 0.000000000000000000e+00 1.131568587651615498e+00 0.000000000000000000e+00 1.216374684372942133e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.816555616792107697e-02
1.300000000000000000e+01 8.420129401130980114e+02 1.156991224600290469e+00 0.000000000000000000e+00 1.156991224600290469e+00 0.000000000000000000e+00 1.177146275437604694e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.571294812824133635e-02
1.400000000000000000e+01 8.494668433663714495e+02 1.202053840626222225e+00 0.000000000000000000e+00 1.202053840626222225e+00 0.000000000000000000e+00 1.144036675066539277e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.351269653964383199e-02
1.500000000000000000e+01 8.579983859211448589e+02 1.255449417727348971e+00 0.000000000000000000e+00 1.255449417727348971e+00 0.000000000000000000e+00 1.115413400354647727e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.152367848407177597e-02
1.600000000000000000e+01 8.678337518490772027e+02 1.311438711335259910e+00 0.000000000000000000e+00 1.311438711335259910e+00 0.000000000000000000e+00 1.090172960682649628e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.971368460778636089e-02
1.700000000000000000e+01 8.788534167028061574e+02 1.367727198564451241e+00 0.000000000000000000e+00 1.367727198564451241e+00 0.000000000000000000e+00 1.068118506660409028e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.805705630490811731e-02
1.800000000000000000e+01 8.900837756896139581e+02 1.423903472267972203e+00 0.000000000000000000e+00 1.423903472267972203e+00 0.000000000000000000e+00 1.049465521710444688e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.653308238326162416e-02
1.900000000000000000e+01 9.027906401792606630e+02 1.483697136780346648e+00 0.000000000000000000e+00 1.483697136780346648e+00 0.000000000000000000e+00 1.034280169023077262e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.512481534071414002e-02
2.000000000000000000e+01 9.155963849134651582e+02 1.545278235808554168e+00 0.000000000000000000e+00 1.545278235808554168e+00 0.000000000000000000e+00 1.022282041137009129e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.381823867510753867e-02
2.100000000000000000e+01 9.288216685787515416e+02 1.610614443941598362e+00 0.000000000000000000e+00 1.610614443941598362e+00 0.000000000000000000e+00 1.013147370342252496e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.260163783835785700e-02
2.200000000000000000e+01 9.424528209958610887e+02 1.679422623673212378e+00 0.000000000000000000e+00 1.679422623673212378e+00 0.000000000000000000e+00 1.006664197798706473e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.146513287732644631e-02
2.300000000000000000e+01 9.564227894756072601e+02 1.750860202103463825e+00 0.000000000000000000e+00 1.750860202103463825e+00 0.000000000000000000e+00 1.002716109389362870e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.040032385855695352e-02
2.400000000000000000e+01 9.707511964392225536e+02 1.821934201525628572e+00 0.000000000000000000e+00 1.821934201525628572e+00 0.000000000000000000e+00 1.001180944340536866e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.940001619611497835e-02
2.500000000000000000e+01 9.854189592808818361e+02 1.888530025031821324e+00 0.000000000000000000e+00 1.888530025031821324e+00 0.000000000000000000e+00 1.001950535192168840e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.845800860798572307e-02
2.600000000000000000e+01 1.000348610571212021e+03 1.949484014107605301e+00 0.000000000000000000e+00 1.949484014107605301e+00 0.000000000000000000e+00 1.004930972320536714e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.756892291782311766e-02
2.700000000000000000e+01 1.015607960838773465e+03 2.002240721266060675e+00 0.000000000000000000e+00 2.002240721266060675e+00 0.000000000000000000e+00 1.010110075749686837e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.672806052730428733e-02
2.800000000000000000e+01 1.031138558273209355e+03 2.046302200484810818e+00 0.000000000000000000e+00 2.046302200484810818e+00 0.000000000000000000e+00 1.017587511485512353e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.593130049655168495e-02
2.900000000000000000e+01 1.046958356500382024e+03 2.082733020215649766e+00 0.000000000000000000e+00 2.082733020215649766e+00 0.000000000000000000e+00 1.027491176350647795e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.517501387239071714e-02
3.000000000000000000e+01 1.063063465586412576e+03 2.111876947883553957e+00 0.000000000000000000e+00 2.111876947883553957e+00 0.000000000000000000e+00 1.039901967469984700e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.445598469910319789e-02
3.100000000000000000e+01 1.079266306595069864e+03 2.134410177654875618e+00 0.000000000000000000e+00 2.134410177654875618e+00 0.000000000000000000e+00 1.054877201265863318e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.377135522187889011e-02
3.200000000000000000e+01 1.095728121642874839e+03 2.150775559102675594e+00 0.000000000000000000e+00 2.150775559102675594e+00 0.000000000000000000e+00 1.072463707683131706e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.311857135337117591e-02
